,failure_probability
16108,0.2600558846388283
16109,0.2120264811271131
16110,0.16136096592758822
16111,0.2219632934628467
16112,0.17720831400801387
16113,0.19565949260726603
16114,0.26543544084692294
16115,0.15320197883051417
16116,0.18237577054389453
16117,0.1915310439495008
16118,0.2990377268067056
16119,0.22715173742179884
16120,0.19164768380900565
16121,0.16392202055724983
16122,0.1829099799140276
16123,0.2643137535644897
16124,0.21646892146409333
16125,0.18580071447788607
16126,0.2302486356008766
16127,0.21702911191103239
16128,0.25035641220861105
16129,0.2009714505463366
16130,0.16277453960207164
16131,0.19514955356328612
16132,0.17862956875137784
16133,0.21812578081318376
16134,0.2912096122818346
16135,0.1496426802168632
16136,0.343522848765501
16137,0.1635918555031733
16138,0.17016628340891496
16139,0.17463101496078706
16140,0.18082459075922253
16141,0.19312381467152565
16142,0.276515158869323
16143,0.3177473543659634
16144,0.26045914714168156
16145,0.23734770383166182
16146,0.1776102763226807
16147,0.15488808988794342
16148,0.20682443976970577
16149,0.19854707933652968
16150,0.18762650198809255
16151,0.1995815783865154
16152,0.23516224327812138
16153,0.2141714418171269
16154,0.1738727772617213
16155,0.21213674428875243
16156,0.27560872671440706
16157,0.22279634531293224
16158,0.20858337493217552
16159,0.24388656859397329
16160,0.1762528624158393
16161,0.24584446956057662
16162,0.22780360054633852
16163,0.24135103888218867
16164,0.13825565318471075
16165,0.11603955203996998
16166,0.21692761683963777
16167,0.20331584165698505
16168,0.15862539799912084
16169,0.2820081861459218
16170,0.24965917708181065
16171,0.13717095368883864
16172,0.12599980184396986
16173,0.17647990351220402
16174,0.23192457910224115
16175,0.21196750257911273
16176,0.23597443908080842
16177,0.16331056597753693
16178,0.1725123337691521
16179,0.1611561957695811
16180,0.2285177880032064
16181,0.18788446773701264
16182,0.16162845985775598
16183,0.3260089238481243
16184,0.15798381294689645
16185,0.23896653207234345
16186,0.2543927128332033
16187,0.14937258323314914
16188,0.4310320419735157
16189,0.3053171690005823
16190,0.18720359571320214
16191,0.1852710856429754
16192,0.2139130183641262
16193,0.15557025811711386
16194,0.33905466168786264
16195,0.2998574607018585
16196,0.3122522625090363
16197,0.15970483611982142
16198,0.21332986334477108
16199,0.20881491648502984
16200,0.1416906696843934
16201,0.19560807403067934
16202,0.3042961484105389
16203,0.28485265235609775
16204,0.16391799763994946
16205,0.2490445944730505
16206,0.25376723179937977
16207,0.2048289420696098
16208,0.1460984616204005
16209,0.1594504356927835
16210,0.17013971570894826
16211,0.1697614594950686
16212,0.1919390579109793
16213,0.21419248166910557
16214,0.20555741993061882
16215,0.20936072337350356
16216,0.18414095660673657
16217,0.1806343228606197
16218,0.17335897509888465
16219,0.14233087610947767
16220,0.19398806604194876
16221,0.32500158841847526
16222,0.17515169397212083
16223,0.2675267122900482
16224,0.1726217089865972
16225,0.161288519885051
16226,0.16429807953333558
16227,0.15511767899424592
16228,0.30959675983517826
16229,0.24680608390789804
16230,0.23116236426948117
16231,0.18734775245686522
16232,0.20058864720411754
16233,0.15266327552984277
16234,0.18769594009612792
16235,0.1863033911235605
16236,0.1854711253470265
16237,0.22391425916805732
16238,0.18157707504671178
16239,0.36083985560388787
16240,0.1659889208639041
16241,0.31873642872533303
16242,0.22656544650389238
16243,0.14481464274434866
16244,0.2699579552408855
16245,0.25656393126843396
16246,0.3494664563022379
16247,0.13264314231119884
16248,0.21234593051991146
16249,0.31105399541287815
16250,0.3039204874459362
16251,0.17103783747000675
16252,0.26867940050899247
16253,0.17831520063050027
16254,0.334742496602492
16255,0.3209009562313352
16256,0.3283073882166198
16257,0.289832142665383
16258,0.21948950826178926
16259,0.20188524420516793
16260,0.22730256229608545
16261,0.1503362432375112
16262,0.1613365135800321
16263,0.1696587685370564
16264,0.18139366894013784
16265,0.2032318562028444
16266,0.2233046112581262
16267,0.24552358693547263
16268,0.41185412946127403
16269,0.16951260458615822
16270,0.16232811468780836
16271,0.2469671045639639
16272,0.16224965734849103
16273,0.22128106310624418
16274,0.33241192883912196
16275,0.1951510138846484
16276,0.22844473427505513
16277,0.21847523574668845
16278,0.22964974074197997
16279,0.1820097748107057
16280,0.28859734228816664
16281,0.1889861714745576
16282,0.1711577497929689
16283,0.3017959491108745
16284,0.27245857450820093
16285,0.3115942327533497
16286,0.19639372678773692
16287,0.1608386739374412
16288,0.20276588258515005
16289,0.251348417816041
16290,0.17100108050709492
16291,0.20130325289799827
16292,0.23050767128304234
16293,0.31962026985430103
16294,0.24404628318900434
16295,0.2243139146626014
16296,0.2252075281851923
16297,0.22817113475197165
16298,0.14973826748330166
16299,0.5151978268846378
16300,0.17563127878568532
16301,0.2830967330579682
16302,0.15731967422076953
16303,0.24473582978244945
16304,0.15475982262747168
16305,0.3028885629391478
16306,0.18199846026026792
16307,0.1936007205859688
16308,0.21455386388173156
16309,0.22519365200132896
16310,0.2275107693879672
16311,0.19488464523173876
16312,0.2253732042970472
16313,0.33624120330167157
16314,0.24358146865843344
16315,0.3373400718063608
16316,0.19078959656941624
16317,0.19831862311247678
16318,0.33278171381766336
16319,0.19088951835805354
16320,0.22129365817168592
16321,0.21579668179999364
16322,0.20469908333367798
16323,0.21891203080626156
16324,0.1646640621995424
16325,0.20855748774319346
16326,0.2036439172179518
16327,0.21705102155814673
16328,0.1928064925282532
16329,0.13367499238052913
16330,0.34583275855901935
16331,0.26218925398826565
16332,0.2384111479584979
16333,0.22500812203202042
16334,0.19777073360586164
16335,0.20942539932312168
16336,0.19683170157748972
16337,0.22792095703004228
16338,0.23232762426769005
16339,0.20720936198396142
16340,0.1836480144725357
16341,0.1951735252322563
16342,0.2136569249140039
16343,0.16594112977070286
16344,0.19286061367925697
16345,0.15786715098036505
16346,0.25153906468419407
16347,0.299202025873186
16348,0.2421508639349878
16349,0.23313262869950785
16350,0.21936483560177553
16351,0.2697855464609095
16352,0.20614256288826152
16353,0.17430628823820485
16354,0.18588440893923286
16355,0.23301197779222269
16356,0.38526828991202394
16357,0.23481339826526257
16358,0.15076758907387608
16359,0.25004981784624103
16360,0.1966115015058563
16361,0.1380474717041375
16362,0.20167398945804005
16363,0.1917700817478705
16364,0.20990946596563048
16365,0.2048271803181679
16366,0.17564946698626652
16367,0.14602136219326947
16368,0.27077763071092587
16369,0.1948874100371365
16370,0.19573443358155804
16371,0.1378335162848676
16372,0.29312450793514977
16373,0.22432026214244852
16374,0.2142639903936915
16375,0.16372247913499302
16376,0.24223369505909526
16377,0.2831495774763222
16378,0.16481621666644666
16379,0.2021722095436393
16380,0.21703826374825982
16381,0.19104639163497944
16382,0.14862625843738317
16383,0.1813318964158349
16384,0.11859492909912381
16385,0.12959151159934593
16386,0.18759006691525423
16387,0.20679902576076353
16388,0.2841394444199426
16389,0.20151022695527543
16390,0.1864684448946906
16391,0.30055222807755466
16392,0.24846675955464928
16393,0.1936926438970678
16394,0.19239013693049994
16395,0.2494091267791628
16396,0.180533533521389
16397,0.20337080246126948
16398,0.2545359845486545
16399,0.16110659171491212
16400,0.1738530769409668
16401,0.1375650702777619
16402,0.21171461794695282
16403,0.17255755367796324
16404,0.40676490996711556
16405,0.23187274953591328
16406,0.28821050528638065
16407,0.22339201062833947
16408,0.19880039128519675
