,Sentiment
0,neutral
1,positive
2,neutral
3,neutral
4,neutral
5,neutral
6,positive
7,neutral
8,neutral
9,negative
10,neutral
11,neutral
12,neutral
13,positive
14,neutral
15,neutral
16,neutral
17,neutral
18,neutral
19,neutral
20,neutral
21,neutral
22,negative
23,positive
24,positive
25,positive
26,positive
27,neutral
28,negative
29,neutral
30,neutral
31,negative
32,positive
33,neutral
34,positive
35,neutral
36,neutral
37,positive
38,neutral
39,positive
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,neutral
47,positive
48,neutral
49,positive
50,positive
51,neutral
52,positive
53,negative
54,neutral
55,neutral
56,neutral
57,positive
58,neutral
59,neutral
60,positive
61,neutral
62,positive
63,neutral
64,neutral
65,positive
66,neutral
67,neutral
68,neutral
69,neutral
70,neutral
71,neutral
72,neutral
73,neutral
74,neutral
75,positive
76,positive
77,positive
78,neutral
79,positive
80,neutral
81,neutral
82,neutral
83,positive
84,positive
85,neutral
86,neutral
87,neutral
88,positive
89,neutral
90,neutral
91,positive
92,neutral
93,neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,neutral
104,positive
105,positive
106,negative
107,neutral
108,positive
109,neutral
110,neutral
111,positive
112,negative
113,neutral
114,neutral
115,neutral
116,positive
117,neutral
118,neutral
119,neutral
120,neutral
121,positive
122,neutral
123,neutral
124,neutral
125,neutral
126,neutral
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,positive
134,neutral
135,neutral
136,neutral
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,neutral
143,neutral
144,neutral
145,neutral
146,positive
147,positive
148,neutral
149,positive
150,positive
151,positive
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,neutral
161,neutral
162,neutral
163,positive
164,neutral
165,neutral
166,positive
167,positive
168,neutral
169,positive
170,neutral
171,neutral
172,positive
173,neutral
174,neutral
175,positive
176,positive
177,neutral
178,neutral
179,positive
180,neutral
181,neutral
182,neutral
183,positive
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,positive
190,neutral
191,neutral
192,neutral
193,negative
194,positive
195,neutral
196,neutral
197,positive
198,neutral
199,negative
200,neutral
201,positive
202,neutral
203,neutral
204,neutral
205,neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,neutral
211,positive
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,positive
220,neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,neutral
226,neutral
227,positive
228,positive
229,neutral
230,neutral
231,positive
232,neutral
233,neutral
234,neutral
235,positive
236,neutral
237,neutral
238,neutral
239,neutral
240,neutral
241,positive
242,negative
243,neutral
244,positive
245,neutral
246,neutral
247,neutral
248,positive
249,neutral
250,neutral
251,neutral
252,neutral
253,neutral
254,positive
255,positive
256,positive
257,positive
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,neutral
267,neutral
268,neutral
269,positive
270,neutral
271,positive
272,neutral
273,neutral
274,neutral
275,positive
276,neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,positive
282,positive
283,neutral
284,neutral
285,neutral
286,neutral
287,positive
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,positive
295,neutral
296,neutral
297,neutral
298,positive
299,neutral
300,neutral
301,neutral
302,neutral
303,positive
304,neutral
305,positive
306,positive
307,positive
308,neutral
309,neutral
310,positive
311,neutral
312,positive
313,positive
314,neutral
315,neutral
316,positive
317,neutral
318,neutral
319,neutral
320,positive
321,neutral
322,neutral
323,positive
324,positive
325,positive
326,neutral
327,neutral
328,neutral
329,neutral
330,positive
331,neutral
332,neutral
333,neutral
334,neutral
335,positive
336,positive
337,positive
338,neutral
339,positive
340,neutral
341,neutral
342,neutral
343,neutral
344,neutral
345,neutral
346,neutral
347,neutral
348,positive
349,positive
350,positive
351,positive
352,neutral
353,positive
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,neutral
360,positive
361,positive
362,neutral
363,neutral
364,positive
365,positive
366,neutral
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,positive
373,neutral
374,neutral
375,negative
376,neutral
377,neutral
378,neutral
379,neutral
380,positive
381,neutral
382,neutral
383,neutral
384,positive
385,neutral
386,positive
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,positive
394,neutral
395,neutral
396,positive
397,neutral
398,positive
399,neutral
400,positive
401,neutral
402,neutral
403,neutral
404,neutral
405,neutral
406,positive
407,positive
408,neutral
409,neutral
410,positive
411,neutral
412,neutral
413,neutral
414,neutral
415,neutral
416,neutral
417,neutral
418,neutral
419,neutral
420,positive
421,neutral
422,neutral
423,positive
424,neutral
425,neutral
426,positive
427,neutral
428,positive
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,positive
436,neutral
437,neutral
438,positive
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,neutral
445,positive
446,neutral
447,positive
448,neutral
449,neutral
450,neutral
451,neutral
452,neutral
453,neutral
454,neutral
455,neutral
456,positive
457,neutral
458,neutral
459,neutral
460,positive
461,neutral
462,positive
463,neutral
464,neutral
465,positive
466,neutral
467,neutral
468,neutral
469,negative
470,neutral
471,neutral
472,neutral
473,neutral
474,neutral
475,neutral
476,neutral
477,neutral
478,positive
479,neutral
480,neutral
481,neutral
482,negative
483,neutral
484,neutral
485,neutral
486,neutral
487,negative
488,neutral
489,neutral
490,neutral
491,neutral
492,positive
493,neutral
494,neutral
495,neutral
496,neutral
497,negative
498,neutral
499,neutral
500,negative
501,neutral
502,neutral
503,neutral
504,positive
505,neutral
506,positive
507,positive
508,neutral
509,positive
510,neutral
511,neutral
512,neutral
513,neutral
514,neutral
515,neutral
516,neutral
517,neutral
518,neutral
519,negative
520,neutral
521,neutral
522,neutral
523,negative
524,neutral
525,positive
526,neutral
527,positive
528,positive
529,neutral
530,neutral
531,positive
532,neutral
533,neutral
534,neutral
535,neutral
536,neutral
537,neutral
538,neutral
539,neutral
540,neutral
541,positive
542,neutral
543,positive
544,neutral
545,positive
546,positive
547,positive
548,positive
549,neutral
550,neutral
551,neutral
552,neutral
553,positive
554,positive
555,negative
556,neutral
557,neutral
558,neutral
559,neutral
560,neutral
561,neutral
562,neutral
563,neutral
564,negative
565,positive
566,neutral
567,neutral
568,neutral
569,neutral
570,positive
571,positive
572,neutral
573,negative
574,neutral
575,neutral
576,positive
577,neutral
578,neutral
579,neutral
580,positive
581,neutral
582,neutral
583,neutral
584,neutral
585,positive
586,neutral
587,positive
588,neutral
589,neutral
590,neutral
591,neutral
592,positive
593,positive
594,neutral
595,neutral
596,positive
597,neutral
598,positive
599,neutral
600,neutral
601,neutral
602,neutral
603,neutral
604,neutral
605,neutral
606,neutral
607,neutral
608,neutral
609,neutral
610,positive
611,positive
612,positive
613,neutral
614,negative
615,neutral
616,neutral
617,neutral
618,neutral
619,neutral
620,neutral
621,neutral
622,positive
623,neutral
624,neutral
625,neutral
626,neutral
627,neutral
628,positive
629,neutral
630,neutral
631,neutral
632,neutral
633,neutral
634,neutral
635,neutral
636,neutral
637,positive
638,neutral
639,positive
640,neutral
641,positive
642,positive
643,positive
644,positive
645,neutral
646,positive
647,neutral
648,neutral
649,neutral
650,negative
651,positive
652,neutral
653,neutral
654,neutral
655,neutral
656,neutral
657,positive
658,neutral
659,neutral
660,neutral
661,neutral
662,neutral
663,neutral
664,positive
665,neutral
666,neutral
667,positive
668,positive
669,neutral
670,neutral
671,neutral
672,neutral
673,neutral
674,neutral
675,neutral
676,positive
677,positive
678,positive
679,positive
680,neutral
681,neutral
682,positive
683,negative
684,neutral
685,neutral
686,positive
687,positive
688,negative
689,neutral
690,neutral
691,neutral
692,neutral
693,negative
694,neutral
695,positive
696,neutral
697,positive
698,neutral
699,neutral
700,neutral
701,neutral
702,neutral
703,positive
704,neutral
705,neutral
706,negative
707,neutral
708,positive
709,neutral
710,positive
711,neutral
712,positive
713,neutral
714,positive
715,neutral
716,negative
717,neutral
718,neutral
719,negative
720,positive
721,neutral
722,positive
723,neutral
724,neutral
725,positive
726,positive
727,neutral
728,neutral
729,negative
730,positive
731,neutral
732,negative
733,neutral
